OBJECTID,ZONING,SPECIAL,HOLD,BYLAWNO,DESCRIPT,LABEL,SHAPE_Length,SHAPE_Area,LASTUPDATE
52,C1-1,,,,Central Area Commercial,C1-1,353.185561145021,4839.96053831831,2022/04/26 14:48:41+00
53,C1-1,,,,Central Area Commercial,C1-1,200.680265753695,2352.62792894781,2022/04/26 14:48:41+00
54,C1-1,,,,Central Area Commercial,C1-1,169.847205282493,1796.29467844185,2022/04/26 14:48:41+00
55,C1-1,,,,Central Area Commercial,C1-1,469.337783278731,6600.96585627442,2022/08/24 08:25:35+00
56,C1-1,,,,Central Area Commercial,C1-1,207.60540432798,1931.81406759802,2022/04/26 14:48:41+00
57,C1-1,,,,Central Area Commercial,C1-1,163.915239516019,1387.05232441353,2022/04/26 14:48:41+00
58,C1-1,,,,Central Area Commercial,C1-1,273.957076185442,4327.79991496722,2022/04/26 14:48:41+00
59,C1-1,,,,Central Area Commercial,C1-1,420.305391297425,7315.43976819958,2022/04/26 14:48:41+00
60,C1-1,,,,Central Area Commercial,C1-1,145.993693412814,832.634178183562,2022/04/26 14:48:41+00
61,C1-1,,,,Central Area Commercial,C1-1,451.863090919838,8955.26651085647,2022/04/26 14:48:41+00
62,C1-1,,,,Central Area Commercial,C1-1,638.523833944508,12548.3609017389,2022/04/26 14:48:41+00
63,C1-1,,,,Central Area Commercial,C1-1,435.715876434981,10965.7279269338,2022/04/26 14:48:41+00
64,C1-1,,,,Central Area Commercial,C1-1,258.508387575836,4057.36645425817,2022/04/26 14:48:41+00
65,C1-1,(SP-366),,2006-282,Central Area Commercial,C1-1 (SP-366) ,1189.52145914224,37442.6585937691,2022/04/26 14:48:41+00
66,C1-1,(SP-422),,2008-126,Central Area Commercial,C1-1 (SP-422) ,440.321371660115,8824.61821521504,2022/04/26 14:48:41+00
67,C1-1,(SP-455),,2010-100,Central Area Commercial,C1-1 (SP-455) ,235.965562730975,3096.3091173433,2022/04/26 14:48:41+00
68,C1-1,(SP-559),,2018-036,Central Area Commercial,C1-1 (SP-559) ,282.365813758057,2950.66231361875,2022/04/26 14:48:41+00
69,C1-1,(SP-93),,1995-101,Central Area Commercial,C1-1 (SP-93) ,257.35708300824,3982.05777986287,2022/04/26 14:48:41+00
70,C1-2,,,,Central Area Commercial,C1-2,154.94565733559,1383.95920940193,2022/04/26 14:48:41+00
71,C1-2,,,,Central Area Commercial,C1-2,175.891329047424,1432.23924683315,2022/04/26 14:48:41+00
72,C1-2,,,,Central Area Commercial,C1-2,268.724197832298,4142.99300335821,2022/04/26 14:48:41+00
73,C1-2,,,,Central Area Commercial,C1-2,165.999691612483,1660.82582267767,2022/04/26 14:48:41+00
74,C1-2,,,,Central Area Commercial,C1-2,334.481664137122,5584.81926044641,2023/11/15 15:43:17+00
75,C1-2,,,,Central Area Commercial,C1-2,241.390434970759,2815.88529076598,2022/04/26 14:48:41+00
76,C1-2,,,,Central Area Commercial,C1-2,407.516243410996,9632.20902827726,2022/04/26 14:48:41+00
77,C1-2,,,,Central Area Commercial,C1-2,616.274089409114,13703.2897197397,2022/04/26 14:48:41+00
78,C1-2,,,,Central Area Commercial,C1-2,522.272567788264,12380.2044984505,2022/04/26 14:48:41+00
79,C1-2,,,,Central Area Commercial,C1-2,391.07130082116,8845.41660819624,2022/04/26 14:48:41+00
80,C1-2,(SP-657),(H-162),2024-050,Central Area Commercial,C1-2 (SP-657)(H-162),326.319602107369,6388.55522015926,2024/07/03 09:51:51+00
81,C1-2,(SP-117),,1996-137,Central Area Commercial,C1-2 (SP-117) ,163.682055698805,1664.01345008914,2022/04/26 14:48:41+00
82,C1-2,(SP-481),,"OMB DECISION PL140066 NOV 24, 2015; 2015-114",Central Area Commercial,C1-2 (SP-481) ,236.833107460894,2196.01009750851,2022/04/26 14:48:41+00
83,C1-2,(SP-481),,"OMB DECISION PL140066 NOV 24, 2015; 2015-114",Central Area Commercial,C1-2 (SP-481) ,106.775230238034,668.608663464591,2022/04/26 14:48:41+00
84,C1-2,(SP-481),,"OMB DECISION PL140066 NOV 24, 2015; 2015-114",Central Area Commercial,C1-2 (SP-481) ,99.5685891044088,578.397470526562,2022/04/26 14:48:41+00
85,C1-2,(SP-481),(H-125),"OMB DECISION PL140066 NOV 24, 2015; 2015-114",Central Area Commercial,C1-2 (SP-481) (H-125),583.279659773611,17652.6543491899,2022/04/26 14:48:41+00
86,C1-2,(SP-622),,2022-120,Central Area Commercial,C1-2 (SP-622),537.19799613057,16400.6934974678,2024/05/03 08:42:24+00
87,C1,(SP-129),,1996-282,Central Area Commercial,C1 (SP-129) ,125.744336797493,624.148556632569,2022/04/26 14:48:41+00
88,C2-1,,,,Transition Centre Commercial,C2-1,267.693828152363,3880.75606686165,2022/07/22 10:12:56+00
89,C2-1,,,,Transition Centre Commercial,C2-1,251.934128176168,2630.735114967,2022/07/22 10:12:22+00
90,C2-1,,,,Transition Centre Commercial,C2-1,319.315424686519,4024.42613770516,2022/04/26 14:48:41+00
91,C2-1,,,,Transition Centre Commercial,C2-1,510.304017563573,9493.51759061458,2022/04/26 14:48:41+00
92,C2-1,,,,Transition Centre Commercial,C2-1,373.762211196733,8795.82289544963,2022/04/26 14:48:41+00
93,C2-1,,,,Transition Centre Commercial,C2-1,347.575164039939,7683.16605534791,2022/08/30 11:39:59+00
94,C2-1,,,,Transition Centre Commercial,C2-1,314.317070719326,6081.91175294372,2022/04/26 14:48:41+00
95,C2-1,(SP-608),,2022-007,Transition Centre Commercial,C2-1 (SP-608),188.079031812325,1891.98585516114,2022/08/24 08:29:19+00
96,C2-1,,,,Transition Centre Commercial,C2-1,161.106395373122,1090.85126228651,2022/04/26 14:48:41+00
97,C2-1,,,,Transition Centre Commercial,C2-1,137.988168804536,983.146425851851,2022/04/26 14:48:41+00
98,C2-1,(SP-624),,2022-124,Transition Centre Commercial,C2-1 (SP-624),321.112003586514,6059.47264807433,2023/02/01 10:28:14+00
99,C2-1,,,,Transition Centre Commercial,C2-1,520.712554416118,8757.01806628011,2022/04/26 14:48:41+00
100,C2-1,,,,Transition Centre Commercial,C2-1,641.190176269673,19321.5879936015,2022/04/26 14:48:41+00
101,C2-1,,,,Transition Centre Commercial,C2-1,274.342076086283,3930.9821510336,2022/04/26 14:48:41+00
102,C2-1,,,,Transition Centre Commercial,C2-1,439.957816743522,11233.708532693,2022/04/26 14:48:41+00
103,C2-1,,,,Transition Centre Commercial,C2-1,237.903474205517,3093.91256736935,2022/04/26 14:48:41+00
104,C2-1,,,,Transition Centre Commercial,C2-1,392.502046547678,8745.8524463655,2022/04/26 14:48:41+00
105,C2-1,,,,Transition Centre Commercial,C2-1,341.280959198814,6002.86854709349,2022/04/26 14:48:41+00
106,C2-1,,,,Transition Centre Commercial,C2-1,492.650152146979,10495.1450858375,2023/05/24 10:05:34+00
107,RA2-1,(SP-609),,2022-006,Residential Apartment Dwelling Second Density - 1,RA2-1 (SP-609),424.259281409739,7810.07032100549,2022/07/20 14:12:48+00
108,C2-1,,,,Transition Centre Commercial,C2-1,432.194973093033,6688.44989089316,2022/04/26 14:48:41+00
109,C2-1,,,,Transition Centre Commercial,C2-1,412.621966969679,6825.62103011882,2022/04/26 14:48:41+00
110,C2-1,(SP-563),,2018-133,Transition Centre Commercial,C2-1 (SP-563) ,283.604452934975,4075.81952886854,2022/04/26 14:48:42+00
111,C2-2,,,,Transition Centre Commercial,C2-2,396.063515135323,9791.86607028254,2022/07/22 09:47:17+00
112,C2-2,,,,Transition Centre Commercial,C2-2,496.364461614918,11853.4955320989,2022/07/22 10:11:32+00
113,C2-2,,,,Transition Centre Commercial,C2-2,303.237525716063,4389.67566306611,2022/04/26 14:48:42+00
114,C2-2,,,,Transition Centre Commercial,C2-2,268.162692691238,3652.00537478496,2022/04/26 14:48:42+00
115,C2-2,,,,Transition Centre Commercial,C2-2,362.935918215977,7391.33458574308,2022/04/26 14:48:42+00
116,C2-2,(SP-369),,2006-142,Transition Centre Commercial,C2-2 (SP-369) ,526.001905433897,13942.6042891911,2022/07/22 09:50:12+00
117,C2-2,(SP-480),(H-120),2013-035,Transition Centre Commercial,C2-2 (SP-480) (H-120),445.038554478966,12275.8691778456,2022/07/22 09:47:51+00
118,C2-2,(SP-492),(H-124),2013-078,Transition Centre Commercial,C2-2 (SP-492) (H-124),355.998658933136,3427.39353545568,2022/04/26 14:48:42+00
119,C2-2,(SP-595),(H-149),2020-073,Transition Centre Commercial,C2-2 (SP-595) (H-149),338.94029995841,7008.49501438688,2022/08/30 11:57:28+00
120,C2,,,,Transition Centre Commercial,C2,102.364138388482,583.047141607769,2022/04/26 14:48:42+00
121,C2,,,,Transition Centre Commercial,C2,660.589104238794,14780.5976097758,2022/04/26 14:48:42+00
122,C2,,,,Transition Centre Commercial,C2,270.15158809784,2848.38944895873,2022/04/26 14:48:42+00
123,C2,,,,Transition Centre Commercial,C2,491.946782691382,14761.0830154882,2022/04/26 14:48:42+00
124,C2,(SP-159),,1998-284,Transition Centre Commercial,C2 (SP-159) ,409.937025980046,9314.27223564635,2022/08/02 14:54:58+00
125,C2,(SP-175),,1999-141,Transition Centre Commercial,C2 (SP-175) ,63.7085603732867,215.519158303838,2023/05/24 10:05:34+00
126,C2,(SP-20),,"1989-227, 1989-249",Transition Centre Commercial,C2 (SP-20) ,124.585576469719,833.249398313745,2022/04/26 14:48:42+00
127,C2,(SP-20),,"1989-227, 1989-249",Transition Centre Commercial,C2 (SP-20) ,124.6051434931,882.384985566563,2022/04/26 14:48:42+00
128,C2,(SP-203),,2012-044,Transition Centre Commercial,C2 (SP-203) ,152.480817465275,1195.07936176045,2022/08/02 15:03:38+00
129,C2,(SP-21),,1989-230,Transition Centre Commercial,C2 (SP-21) ,164.365877476104,1500.31557411661,2022/04/26 14:48:42+00
130,C2,(SP-22),,1989-231,Transition Centre Commercial,C2 (SP-22) ,148.627683210916,1090.86234077666,2022/04/26 14:48:42+00
131,C2,(SP-23),,1999-228,Transition Centre Commercial,C2 (SP-23) ,109.742097859222,704.43291662743,2022/04/26 14:48:42+00
